price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
13000,2003.0,ram 2500,good,6,diesel,287800.0,automatic,truck,white,1.0,2018-09-03,8
5888,,toyota 4runner,good,6,gas,0.0,automatic,SUV,black,,2019-02-22,36
22995,2014.0,ford f150,like new,6,gas,116646.0,automatic,pickup,,1.0,2018-05-06,4
15995,2013.0,volkswagen passat,excellent,4,diesel,18306.0,automatic,sedan,red,,2018-09-29,35
18995,2014.0,ford f150,like new,6,gas,130276.0,automatic,pickup,red,,2018-11-08,33
10500,1998.0,jeep wrangler,good,8,gas,,automatic,offroad,red,1.0,2018-10-09,48
15995,2013.0,bmw x5,excellent,6,gas,87338.0,automatic,SUV,grey,1.0,2019-03-10,15
7995,2008.0,ford edge,like new,6,gas,123954.0,automatic,sedan,white,1.0,2018-08-02,20
38500,2018.0,ford f250,like new,8,diesel,,automatic,truck,white,1.0,2018-09-22,24
27500,2018.0,jeep wrangler,like new,6,gas,17223.0,automatic,truck,black,1.0,2018-06-28,83
30900,2013.0,ford f350,excellent,8,diesel,,automatic,truck,,1.0,2018-08-06,18
8595,,ford f-250 super duty,good,8,gas,148.0,automatic,truck,white,1.0,2018-07-18,31
13988,2006.0,ford f-250 sd,good,8,diesel,200788.0,automatic,truck,blue,1.0,2018-08-29,28
24995,2014.0,gmc sierra 1500,excellent,8,gas,90207.0,automatic,truck,red,1.0,2019-02-23,41
17500,2012.0,gmc yukon,excellent,8,gas,124995.0,automatic,SUV,black,1.0,2018-08-12,11
30995,2018.0,ford f-150,excellent,6,gas,35672.0,automatic,pickup,white,1.0,2019-04-10,31
9888,2003.0,gmc sierra 2500hd,good,8,diesel,210000.0,automatic,truck,white,1.0,2018-12-09,61
4495,2003.0,toyota camry le,good,4,gas,151000.0,automatic,sedan,blue,,2019-03-07,17
24995,2011.0,ford f350,like new,8,diesel,142581.0,automatic,pickup,silver,1.0,2019-02-05,24
3000,2008.0,dodge grand caravan,good,6,gas,181425.0,automatic,mini-van,blue,,2019-01-23,17
7495,2005.0,jeep wrangler,excellent,6,gas,161556.0,manual,SUV,red,1.0,2018-09-02,19
10799,2002.0,chevrolet silverado 2500hd,excellent,8,gas,106479.0,automatic,truck,brown,1.0,2019-01-26,18
12499,2011.0,ford f-150,excellent,,gas,206000.0,automatic,truck,black,1.0,2019-03-01,17
38995,2014.0,ford f350,like new,8,diesel,98055.0,automatic,pickup,white,1.0,2018-07-11,59
14500,2010.0,ford f150,like new,8,gas,124202.0,automatic,pickup,red,,2018-07-13,57
12000,2001.0,ford f-250,good,8,diesel,261000.0,automatic,pickup,green,1.0,2018-06-24,25
7500,2005.0,ford f-150,excellent,,gas,140732.0,automatic,truck,black,,2019-01-30,44
8000,2007.0,chevrolet suburban,good,8,gas,177000.0,automatic,SUV,black,1.0,2018-07-17,128
26588,,jeep wrangler unlimited,like new,6,gas,34408.0,automatic,SUV,white,1.0,2019-03-09,16
6992,2013.0,ford fusion se,like new,4,gas,170.0,automatic,sedan,white,,2018-09-13,109
44991,2018.0,ram 2500,like new,6,diesel,31.0,automatic,truck,white,1.0,2018-07-21,45
44991,2018.0,ram 2500,like new,6,diesel,32.0,automatic,truck,grey,1.0,2018-05-02,26
9992,2007.0,chevrolet silverado 1500,like new,8,gas,183.0,automatic,truck,,1.0,2018-06-11,33
8595,2009.0,ford f-150,excellent,8,gas,180.0,automatic,truck,yellow,1.0,2019-02-28,51
20900,2016.0,ram 1500,excellent,8,gas,73300.0,automatic,pickup,grey,1.0,2018-12-03,49
3500,2000.0,subaru outback,good,4,gas,236000.0,automatic,wagon,green,1.0,2018-09-06,31
11995,2013.0,volkswagen passat,good,4,diesel,40867.0,automatic,sedan,white,,2018-12-31,9
5950,2004.0,chevrolet silverado 1500,good,8,gas,137351.0,automatic,truck,white,1.0,2018-11-21,55
5990,2011.0,chevrolet impala,excellent,6,gas,,automatic,sedan,,,2018-11-12,16
15995,2013.0,volkswagen passat,excellent,4,diesel,17693.0,automatic,sedan,silver,,2019-01-21,16
8995,2008.0,gmc acadia,like new,6,gas,,automatic,SUV,white,,2019-03-09,19
4995,2001.0,subaru forester,excellent,4,gas,,automatic,SUV,grey,1.0,2018-06-10,23
3995,2006.0,volkswagen jetta,excellent,4,diesel,271914.0,manual,sedan,grey,,2018-06-21,20
8995,2009.0,buick enclave,excellent,6,gas,,automatic,SUV,purple,1.0,2018-08-06,69
23995,2014.0,gmc sierra,like new,8,gas,121361.0,automatic,pickup,silver,1.0,2018-11-17,110
8950,2008.0,toyota prius,excellent,4,hybrid,76113.0,automatic,hatchback,,,2019-02-18,28
29995,2014.0,ford f250,like new,8,diesel,128604.0,automatic,pickup,red,1.0,2019-03-08,38
7000,2006.0,toyota highlander,good,6,gas,,automatic,SUV,silver,,2019-02-10,35
11500,2014.0,honda cr-v,good,4,gas,56000.0,automatic,SUV,grey,1.0,2018-08-14,23
10987,2003.0,ram 1500,excellent,8,gas,163978.0,automatic,truck,white,1.0,2019-01-20,8
15995,2011.0,chevrolet silverado,like new,8,gas,133247.0,automatic,pickup,white,1.0,2019-01-18,7
3995,2001.0,bmw x5,excellent,8,gas,190108.0,automatic,SUV,,1.0,2018-05-26,62
9995,2010.0,toyota rav4,excellent,4,gas,,automatic,SUV,,1.0,2018-12-07,37
7500,,dodge charger,good,8,gas,106100.0,automatic,sedan,red,,2019-01-19,27
25995,2015.0,chevrolet silverado,like new,8,gas,99935.0,automatic,pickup,white,1.0,2018-08-25,3
14995,2014.0,toyota tundra,like new,8,gas,,automatic,pickup,white,1.0,2018-07-12,57
19995,2013.0,ford f150,like new,8,gas,137784.0,automatic,pickup,silver,1.0,2018-11-01,78
11500,2006.0,chevrolet silverado 2500hd,good,8,gas,128500.0,automatic,truck,white,1.0,2018-11-08,13
16800,,ford escape,excellent,4,gas,79717.0,automatic,SUV,blue,1.0,2018-08-14,80
9495,2016.0,kia soul,excellent,4,gas,108761.0,manual,sedan,,,2018-11-07,13
11745,2011.0,chevrolet silverado,excellent,8,gas,,automatic,truck,white,,2019-04-12,20
7800,2008.0,toyota tacoma,excellent,,gas,,manual,truck,red,,2019-04-04,24
16500,2012.0,subaru impreza,like new,4,gas,97000.0,manual,hatchback,blue,1.0,2019-01-14,90
13998,2016.0,toyota camry,excellent,,gas,51000.0,automatic,sedan,black,,2019-01-23,36
24998,2014.0,toyota tacoma,excellent,6,gas,56000.0,automatic,pickup,,1.0,2018-06-13,12
11500,2017.0,volkswagen passat,excellent,4,gas,,automatic,sedan,grey,,2018-05-03,14
1500,2001.0,honda civic,fair,,gas,234000.0,automatic,coupe,,,2018-05-19,19
29500,2011.0,ram 2500,excellent,6,diesel,,automatic,pickup,black,1.0,2019-04-10,21
34995,2013.0,ford f350,like new,8,diesel,93880.0,automatic,pickup,,1.0,2018-09-27,82
10000,2011.0,ford f-150,like new,8,gas,189000.0,automatic,truck,white,1.0,2019-01-30,34
7950,2008.0,buick enclave,good,6,gas,104241.0,automatic,SUV,white,,2018-06-30,47
5500,2000.0,chevrolet tahoe,excellent,8,gas,201697.0,automatic,SUV,,,2018-09-24,10
14950,2019.0,toyota corolla,excellent,,gas,34929.0,automatic,sedan,white,,2019-02-15,65
8995,1998.0,chevrolet tahoe,like new,8,gas,173085.0,automatic,SUV,white,,2018-10-20,16
23995,,jeep wrangler,like new,6,gas,56167.0,automatic,SUV,silver,1.0,2019-03-28,46
15995,,toyota tundra,like new,8,gas,128699.0,automatic,pickup,silver,1.0,2018-05-23,117
19995,2013.0,chevrolet silverado,like new,8,gas,,automatic,SUV,white,1.0,2018-07-17,23
28995,2017.0,chevrolet silverado,like new,8,gas,29625.0,automatic,pickup,,1.0,2018-05-03,73
4995,2002.0,toyota prius,excellent,4,gas,,automatic,sedan,blue,,2018-05-19,47
600,1995.0,nissan altima,fair,4,gas,196000.0,manual,sedan,,1.0,2018-11-22,37
12000,2017.0,ford escape,excellent,4,gas,107382.0,automatic,SUV,orange,,2018-10-27,24
1500,2015.0,nissan altima,excellent,4,gas,,automatic,sedan,black,,2018-12-24,53
5500,2010.0,jeep liberty,good,6,gas,94560.0,automatic,SUV,,,2019-03-08,26
1200,2000.0,honda odyssey,fair,6,gas,,automatic,mini-van,white,,2018-08-09,56
12950,2017.0,toyota corolla,excellent,4,gas,55528.0,automatic,sedan,silver,,2019-04-06,69
7000,2003.0,ford f350,good,8,gas,,automatic,truck,white,,2018-09-21,11
15500,2013.0,honda cr-v,excellent,4,gas,51600.0,automatic,SUV,grey,,2019-02-02,54
1000,1992.0,gmc sierra 1500,good,8,gas,0.0,automatic,truck,,,2018-09-28,47
27500,2015.0,jeep wrangler,excellent,6,gas,8200.0,automatic,SUV,brown,1.0,2018-12-04,29
8000,2014.0,ford escape,excellent,4,gas,105000.0,automatic,SUV,white,1.0,2018-08-26,62
11900,2010.0,chevrolet silverado 1500,good,8,gas,116000.0,automatic,SUV,white,1.0,2018-06-14,25
11900,2004.0,jeep wrangler unlimited,good,6,gas,108.0,automatic,offroad,silver,1.0,2018-08-07,28
8999,2014.0,ford fusion se,good,4,gas,84577.0,automatic,sedan,custom,,2018-09-09,32
10795,2006.0,toyota tundra,excellent,8,gas,,automatic,truck,grey,1.0,2018-07-19,25
10950,1999.0,ram 2500,good,6,diesel,,automatic,truck,white,1.0,2018-10-05,15
15900,2017.0,volkswagen passat,like new,4,gas,30810.0,automatic,sedan,black,,2018-05-15,39
7200,2009.0,subaru forester,good,4,gas,126000.0,automatic,hatchback,blue,1.0,2018-12-21,33
2800,1997.0,ford f-250,fair,8,gas,,automatic,pickup,green,1.0,2018-09-12,12
7888,2008.0,toyota rav4,excellent,,gas,132476.0,automatic,SUV,silver,,2018-12-01,45
22995,2017.0,honda civic,like new,,gas,1994.0,other,coupe,green,,2019-01-12,35
5000,2002.0,chevrolet silverado 2500hd,fair,8,gas,169000.0,automatic,truck,silver,,2018-05-18,31
3000,2012.0,ford focus,fair,4,gas,153000.0,automatic,coupe,blue,,2019-01-14,47
4000,2000.0,ford ranger,good,6,gas,242881.0,manual,pickup,red,1.0,2019-01-03,57
9950,2016.0,nissan versa,excellent,4,gas,13607.0,automatic,sedan,grey,,2018-10-14,17
9950,2016.0,nissan altima,excellent,4,gas,94914.0,automatic,sedan,grey,,2018-05-08,46
9900,2013.0,toyota corolla,good,4,gas,57884.0,automatic,sedan,black,,2018-07-14,51
3995,2010.0,volkswagen jetta,good,,gas,134.0,automatic,sedan,blue,,2019-03-24,22
14000,2003.0,subaru outback,fair,4,gas,165000.0,automatic,wagon,green,1.0,2018-08-15,55
10995,2014.0,toyota camry le,excellent,4,gas,74000.0,automatic,sedan,,,2019-01-26,22
5100,2008.0,ford f-150,good,8,gas,98000.0,automatic,truck,white,,2018-08-19,37
13995,2016.0,toyota camry le,excellent,4,gas,42000.0,automatic,sedan,,,2019-01-14,16
23900,2017.0,subaru outback,like new,4,gas,42000.0,automatic,wagon,blue,1.0,2018-05-29,91
6495,2005.0,toyota prius,excellent,4,gas,60.0,automatic,hatchback,black,,2018-12-17,14
13495,2017.0,toyota camry le,excellent,4,gas,,automatic,sedan,red,1.0,2019-01-28,8
9500,2009.0,ford f150,excellent,8,gas,135000.0,automatic,truck,custom,,2019-03-28,41
6900,2010.0,toyota sienna,excellent,6,gas,156459.0,automatic,van,red,,2019-04-11,13
4500,2012.0,volkswagen jetta,excellent,4,gas,,automatic,sedan,red,,2018-12-20,47
3200,2003.0,honda civic lx,excellent,4,gas,179000.0,automatic,coupe,blue,,2019-01-21,27
7500,2005.0,chevrolet silverado 1500,good,8,gas,185000.0,automatic,truck,,,2019-04-12,56
5500,2008.0,honda cr-v,excellent,4,gas,160357.0,automatic,SUV,silver,,2018-07-15,90
13900,2017.0,ford escape,excellent,4,gas,72803.0,automatic,SUV,black,1.0,2018-10-14,114
16299,2018.0,ford escape,excellent,4,gas,63708.0,automatic,SUV,black,1.0,2019-03-30,14
35995,2016.0,gmc sierra 1500,excellent,8,gas,34490.0,automatic,truck,white,1.0,2019-02-16,50
1500,1994.0,ford f-150,good,8,gas,200000.0,automatic,truck,white,,2018-12-28,22
9950,2013.0,chrysler 300,good,6,gas,169261.0,automatic,sedan,black,,2018-11-02,77
27950,2017.0,ford f250,excellent,8,gas,78838.0,automatic,truck,silver,1.0,2019-02-28,18
27950,2017.0,ford f-250,excellent,8,gas,80982.0,automatic,truck,,1.0,2019-01-05,66
16995,2013.0,jeep grand cherokee laredo,good,,other,76087.0,automatic,other,black,,2018-10-22,19
17500,2017.0,dodge charger,like new,6,gas,38000.0,automatic,sedan,,,2019-02-21,23
850,2003.0,honda civic,salvage,4,hybrid,229704.0,automatic,sedan,brown,,2018-12-23,39
5995,2009.0,chevrolet malibu,good,4,gas,160281.0,automatic,sedan,grey,,2019-03-30,83
4700,1998.0,chevrolet suburban,excellent,8,gas,52000.0,automatic,SUV,black,,2018-06-14,120
8000,2001.0,gmc sierra 2500hd,excellent,8,gas,62200.0,automatic,pickup,grey,,2018-08-02,15
5995,2004.0,ford f-250,good,8,gas,,automatic,truck,red,1.0,2018-11-01,17
16995,2015.0,toyota sienna,like new,6,gas,93000.0,automatic,mini-van,white,,2019-02-14,65
29000,2018.0,chevrolet silverado 1500,excellent,8,gas,83426.0,automatic,truck,silver,1.0,2019-02-18,69
7995,2015.0,dodge grand caravan,excellent,6,gas,119000.0,automatic,mini-van,brown,,2018-06-02,18
16000,1972.0,ford mustang,good,8,gas,72744.0,automatic,coupe,red,,2018-09-29,87
4000,2005.0,ford explorer,good,6,gas,123600.0,automatic,SUV,white,1.0,2018-08-12,36
13995,2012.0,ram 1500,excellent,8,gas,98000.0,automatic,pickup,brown,1.0,2018-12-01,23
3500,1998.0,chevrolet silverado,excellent,8,gas,180000.0,automatic,pickup,white,1.0,2018-08-02,7
15495,2012.0,gmc sierra,excellent,8,gas,95000.0,automatic,truck,,1.0,2019-03-27,22
10500,2010.0,chevrolet silverado,excellent,8,gas,247000.0,automatic,pickup,white,1.0,2018-12-22,26
1600,2004.0,honda accord,good,4,gas,230000.0,automatic,sedan,silver,,2019-04-14,59
24500,2016.0,ford f-150,excellent,6,gas,56000.0,automatic,pickup,black,,2018-09-04,34
4500,2009.0,toyota corolla,good,4,gas,112000.0,manual,sedan,,,2019-02-22,88
12000,2011.0,ford f-150,excellent,,gas,126000.0,automatic,truck,white,1.0,2018-11-30,15
2100,2001.0,chevrolet camaro,good,6,gas,129000.0,manual,coupe,orange,,2018-07-18,44
12495,2017.0,nissan altima,excellent,4,gas,91880.0,automatic,sedan,grey,,2019-01-20,20
50948,2017.0,chevrolet silverado 2500hd,excellent,8,diesel,43076.0,automatic,pickup,black,1.0,2018-11-17,155
9295,2014.0,ford fusion,excellent,,gas,67439.0,automatic,sedan,black,,2019-02-08,19
7995,2015.0,ford fusion se,excellent,4,gas,63507.0,automatic,sedan,black,,2018-09-19,51
8995,2016.0,ford fusion se,excellent,4,gas,47256.0,automatic,sedan,silver,,2019-02-22,42
6000,2011.0,toyota prius,excellent,3,gas,143000.0,automatic,hatchback,black,,2018-12-30,37
14300,2012.0,toyota tacoma,excellent,4,gas,79075.0,manual,pickup,silver,,2018-09-29,9
7500,2012.0,ford fusion,excellent,,gas,96000.0,automatic,sedan,silver,,2019-02-15,10
17995,2013.0,chevrolet suburban,excellent,8,gas,123491.0,automatic,SUV,black,1.0,2018-08-12,65
11995,2013.0,volkswagen jetta,excellent,5,gas,,automatic,sedan,black,,2018-09-02,73
12500,2017.0,volkswagen jetta,good,,gas,21500.0,manual,sedan,white,,2019-01-20,20
36995,2013.0,ram 3500,excellent,8,gas,35922.0,automatic,truck,,1.0,2018-05-04,49
9895,2016.0,ford fusion se,excellent,4,gas,38641.0,automatic,sedan,grey,,2019-02-20,19
7995,2014.0,ford fusion se,excellent,,gas,28642.0,automatic,sedan,,,2018-10-26,75
12495,2008.0,chevrolet silverado 2500hd,excellent,8,gas,,automatic,pickup,blue,1.0,2019-01-19,61
8995,2016.0,ford fusion se,excellent,4,gas,47256.0,automatic,sedan,silver,,2019-01-22,23
7990,2013.0,buick enclave,excellent,6,gas,165019.0,automatic,SUV,grey,1.0,2019-02-14,82
9295,2015.0,ford fusion se,excellent,4,gas,30183.0,automatic,sedan,brown,,2019-01-21,34
30989,2017.0,chevrolet silverado 1500,excellent,8,gas,34855.0,automatic,truck,black,1.0,2018-08-01,48
8995,2014.0,ford focus,excellent,4,gas,,automatic,sedan,white,,2019-02-03,20
13990,2015.0,ram 1500,excellent,6,gas,61530.0,automatic,pickup,white,,2019-01-26,118
5950,2008.0,ford f-250,good,8,gas,148000.0,automatic,pickup,white,,2018-06-14,83
4500,2008.0,chevrolet silverado 1500,good,,gas,234000.0,automatic,truck,white,1.0,2018-10-23,19
8448,2015.0,ford focus,excellent,4,gas,74388.0,automatic,sedan,red,,2019-04-02,45
2995,2012.0,chevrolet colorado,good,4,gas,274000.0,automatic,pickup,white,,2019-04-17,15
6450,,ford fusion,excellent,4,hybrid,137787.0,automatic,sedan,white,,2018-05-05,13
4250,2008.0,honda civic,good,4,hybrid,,automatic,coupe,black,,2018-12-28,49
47500,2019.0,chevrolet suburban,excellent,8,gas,18136.0,automatic,SUV,blue,1.0,2019-04-01,24
14500,2004.0,chevrolet silverado 2500hd,excellent,8,gas,106000.0,automatic,truck,,1.0,2018-09-03,30
13786,2014.0,volkswagen passat,excellent,4,diesel,59501.0,automatic,sedan,black,,2018-08-31,61
10995,2016.0,volkswagen jetta,excellent,4,gas,25458.0,automatic,sedan,grey,,2018-11-02,17
35800,2015.0,chevrolet silverado 2500hd,excellent,8,gas,77207.0,automatic,truck,black,1.0,2019-03-11,78
3200,1996.0,dodge dakota,good,6,gas,219000.0,manual,pickup,,1.0,2018-08-16,48
1600,2000.0,toyota tacoma,fair,6,gas,180.0,automatic,pickup,silver,,2019-03-25,20
5000,2005.0,ford f-150,salvage,8,gas,175000.0,automatic,truck,white,1.0,2018-06-22,12
15990,2017.0,volkswagen passat,excellent,4,gas,51082.0,automatic,sedan,,,2018-09-23,18
4500,2007.0,gmc sierra 1500,excellent,6,gas,105.0,automatic,truck,brown,,2018-12-12,37
4500,2001.0,ford f-150,good,8,gas,191300.0,automatic,pickup,red,1.0,2018-06-25,44
4750,2009.0,honda accord,excellent,4,gas,165100.0,automatic,sedan,grey,,2018-09-26,56
4900,2012.0,kia soul,good,4,gas,127000.0,automatic,sedan,silver,,2018-07-06,52
13000,2015.0,chevrolet equinox,excellent,,gas,82102.0,automatic,SUV,blue,,2018-10-17,22
33000,2018.0,chevrolet colorado,excellent,6,gas,13340.0,automatic,truck,black,1.0,2018-12-23,78
18277,2018.0,ford escape,excellent,4,gas,,automatic,SUV,black,,2018-11-15,36
13400,2006.0,jeep wrangler,good,6,gas,116888.0,automatic,convertible,green,1.0,2019-03-11,82
7400,,toyota corolla,like new,,gas,,automatic,sedan,grey,,2019-03-10,15
233,2007.0,chevrolet silverado 1500,excellent,,gas,132782.0,automatic,truck,,,2018-11-16,9
267,2013.0,chevrolet silverado 1500,excellent,8,gas,146062.0,automatic,truck,white,1.0,2018-10-04,24
7799,2006.0,ford f-150,good,8,gas,238656.0,automatic,pickup,white,,2018-08-09,24
8500,2004.0,jeep wrangler,excellent,6,gas,143547.0,manual,wagon,blue,1.0,2018-05-04,76
10990,2013.0,nissan altima,excellent,4,gas,49587.0,automatic,sedan,white,,2018-10-16,45
155,2008.0,nissan sentra,excellent,4,gas,116806.0,automatic,sedan,red,,2018-08-26,50
176,,nissan altima,excellent,4,gas,145860.0,automatic,sedan,black,,2018-05-31,35
13995,2013.0,ford explorer,excellent,6,gas,119072.0,automatic,SUV,silver,1.0,2018-07-01,48
11995,2017.0,chevrolet cruze,excellent,4,gas,62182.0,automatic,sedan,black,,2018-09-16,23
15588,2017.0,chevrolet malibu,like new,4,gas,48000.0,automatic,sedan,black,,2018-05-30,44
14995,2014.0,ram 1500,excellent,8,gas,152515.0,automatic,truck,white,1.0,2018-05-11,60
17295,,ram 1500,excellent,8,gas,102919.0,automatic,truck,,1.0,2018-05-07,11
20988,2018.0,toyota camry,like new,4,gas,28000.0,automatic,sedan,red,,2019-02-21,18
27500,2010.0,chevrolet silverado 1500,excellent,8,gas,99500.0,automatic,truck,silver,1.0,2018-08-24,53
2995,2007.0,honda accord,good,4,gas,157000.0,automatic,coupe,silver,,2019-01-25,8
4995,2011.0,chevrolet malibu,good,4,gas,98000.0,automatic,sedan,blue,,2018-05-10,46
8995,,nissan altima,like new,4,gas,32850.0,automatic,sedan,,,2018-08-04,83
15900,,chevrolet silverado 1500,good,8,gas,120939.0,automatic,pickup,,1.0,2018-08-07,52
8000,2010.0,chevrolet silverado 2500hd,good,8,gas,209431.0,automatic,truck,,,2018-08-11,74
6000,2007.0,chevrolet silverado 2500hd,good,8,gas,219000.0,automatic,truck,white,,2018-09-08,86
51000,1967.0,chevrolet corvette,excellent,8,gas,66000.0,manual,coupe,blue,,2019-02-14,95
11900,2007.0,ford f-150,excellent,8,gas,,automatic,truck,custom,1.0,2018-11-12,87
19991,2013.0,jeep wrangler,good,6,gas,,automatic,SUV,black,1.0,2018-10-21,22
12991,,dodge charger,good,6,gas,,automatic,sedan,custom,,2019-02-28,35
9991,2006.0,chevrolet silverado 1500,good,8,gas,151611.0,automatic,truck,green,,2019-03-01,54
5500,1999.0,ford f-250,like new,,gas,165000.0,automatic,truck,green,,2018-12-26,30
7900,2006.0,ram 1500,excellent,8,gas,164936.0,automatic,truck,white,,2018-07-06,26
13690,2013.0,chevrolet silverado,excellent,6,gas,78000.0,automatic,pickup,grey,,2018-12-30,3
2750,2003.0,volkswagen jetta,good,4,gas,149.0,automatic,sedan,grey,,2018-08-28,11
24500,2017.0,gmc acadia,excellent,6,gas,34000.0,automatic,SUV,,,2019-01-08,25
15500,,honda accord,like new,4,gas,17000.0,automatic,sedan,grey,,2018-05-18,46
6399,2009.0,chevrolet traverse,good,6,gas,121040.0,automatic,SUV,green,1.0,2018-07-01,41
30000,,chevrolet silverado 2500hd,excellent,8,gas,57000.0,automatic,truck,,1.0,2018-07-06,22
6500,1999.0,ford f250,good,8,gas,,automatic,pickup,white,,2018-10-20,19
5950,2006.0,honda accord,excellent,,gas,146005.0,automatic,coupe,silver,,2018-11-02,45
11900,2007.0,gmc yukon,excellent,8,gas,165000.0,automatic,SUV,black,1.0,2019-01-21,31
9490,2011.0,ford f-150,excellent,,gas,147000.0,automatic,truck,,,2018-12-21,17
28988,2015.0,chevrolet silverado,like new,,gas,,automatic,truck,brown,,2019-04-01,32
4999,2008.0,nissan altima,excellent,6,gas,106170.0,automatic,sedan,silver,,2018-10-29,36
5900,2011.0,hyundai sonata,good,4,gas,,automatic,sedan,black,,2018-06-26,36
9999,2013.0,kia sorento,excellent,6,gas,112828.0,automatic,wagon,silver,1.0,2018-09-21,26
3800,2001.0,chevrolet suburban,good,8,gas,250000.0,automatic,SUV,blue,1.0,2018-10-01,21
16800,2015.0,chevrolet colorado,excellent,4,gas,157000.0,automatic,pickup,white,1.0,2019-01-20,77
4999,2004.0,ram 1500,excellent,8,gas,98790.0,automatic,truck,grey,,2018-10-22,78
6000,,nissan altima,excellent,4,gas,,automatic,sedan,brown,,2019-02-08,30
4800,2005.0,jeep grand cherokee,good,6,gas,,automatic,SUV,white,,2018-09-02,18
5950,2009.0,ford f-150,excellent,8,gas,190.0,automatic,pickup,grey,,2018-06-07,50
44495,2019.0,chevrolet suburban,excellent,8,gas,27032.0,automatic,SUV,black,1.0,2019-02-24,43
4000,2008.0,honda civic,excellent,4,gas,160000.0,manual,sedan,,,2018-06-02,48
6999,2012.0,chevrolet equinox,excellent,4,gas,132424.0,automatic,wagon,silver,,2019-01-06,41
5400,2004.0,chevrolet silverado,good,8,gas,238000.0,automatic,truck,grey,1.0,2019-02-10,41
10994,2015.0,chevrolet equinox,excellent,4,gas,117488.0,automatic,SUV,black,1.0,2018-07-20,11
6900,2006.0,ford f-150,excellent,8,gas,194337.0,automatic,truck,red,,2019-02-09,40
60774,2018.0,chevrolet tahoe,excellent,8,gas,4825.0,automatic,SUV,black,1.0,2018-07-04,10
4695,1997.0,chevrolet tahoe,excellent,8,gas,,automatic,SUV,white,,2019-03-16,48
17980,2013.0,ford f-150,excellent,,gas,,automatic,truck,black,1.0,2018-06-17,90
7995,2012.0,toyota prius,excellent,4,gas,64685.0,automatic,hatchback,blue,,2019-02-08,58
7000,2003.0,chevrolet silverado,excellent,8,gas,,automatic,truck,white,1.0,2019-03-30,14
18200,2015.0,toyota sienna,excellent,6,gas,,automatic,van,silver,,2018-08-03,34
30029,2018.0,jeep grand cherokee,like new,6,gas,32500.0,automatic,SUV,silver,1.0,2018-05-24,7
8990,2011.0,nissan frontier,excellent,6,gas,147209.0,automatic,pickup,silver,,2019-01-04,11
3995,2001.0,toyota camry le,excellent,4,gas,76902.0,automatic,sedan,,,2018-11-11,86
28671,2018.0,ram 1500,like new,6,gas,14500.0,automatic,truck,grey,,2018-05-19,8
